metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,origin: not before,origin: not after,origin: country,origin: region,origin: settlement,origin: org,provenance: overview,provenance: former owner name(s),provenance: named place(s),acquisition: overview,acquisition: not before,acquisition: not after,acquisition: former owner name(s),acquisition: donor name(s),contents: lang(s),contents: lang code(s),contents: n items and parts,contents: title(s),contents: standard title(s),contents: subject(s),contents: author(s) referenced,music: notation,decoration: type(s),codicology: form,codicology: condition,codicology: support,codicology: watermark,codicology: extent,codicology: core folios,codicology: endleaves,codicology: later endleaves,codicology: collation,codicology: main structure,codicology: structures,codicology: foliation,palaeography: hands,palaeography: script,palaeography: main script,palaeography: execution,palaeography: medium,binding: overview,binding: contemporary,binding: not before,binding: not after,binding: certainty,binding: max height,binding: min height,binding: max width,binding: min width,binding: max depth,binding: min depth,binding: unit,leaves: max height,leaves: min height,leaves: max width,leaves: min width,leaves: unit,text block: max cols,text block: min cols,text block: max height,text block: min height,text block: max width,text block: min width,text block: unit,text block: max lines,text block: min lines,text block: medium,text block: top line
manuscript_15546,,Eton Pote 392,,manuscript,,Eton_392,1560 1560,1561 1561,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,ar,1.0,Mukhtaṣar al-Waqāyiʿ; مختصر الوقايع,,,"Maḥbūbī, ʿUbayd Allāh ibn Masʿūd, d. 1346 or 7 محبوبي، عبيد الله بن مسعود",,,codex,Water damage.,chart,,,,,,,,,Foliated.,,naskh,naskh,,black,,,,,,,,,,,,,23.5,23.5,16.5,16.5,cm,1.0,1.0,,,,,,15.0,15.0,,
manuscript_15540,,Eton Pote 386,,manuscript,,Eton_386,,,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,fa,1.0,"Maʾāthir-i ʿĀlamgīrī; مآثر عالمگیری; Catalogue of the Persian manuscripts in the British Museum (3 vols.); Catalogue of Persian manuscripts in the library of the India Office (2 vols.); Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library; Persian Literature: a bio-bibliographical survey; Mughals in India: a bibliographical survey. Vol. 1. Manuscripts",,,"Mustaʿidd Khān, Muḥammad Sāqī, d. 1724 محمد ساقي مستعدّ خان ; C. Rieu; H. Ethé; E. Sachau and H. Ethé; C. A. Storey; D.N. Marshall",,,codex,,chart,,,,,,,,,Not foliated or paginated.,,unknown,unknown,,black,,,,,,,,,,,,,23.3,23.3,13.5,13.5,cm,1.0,1.0,,,,,,15.0,15.0,,
manuscript_15531,,Eton Pote 379,,manuscript,,Eton_379,,,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,fa,1.0,Tarjumān Nuṣūṣ al-Kilam (a commentary upon Ibn ʿArabī's Fuṣūṣ al-Ḥikam); ترجمان نصوص الكلم,,,ʿImād al-dīn Muḥammad عماد الدين محمد,,,codex,,chart,,,,,,,,,Not foliated or paginated.,,unknown,unknown,,black,,,,,,,,,,,,,28.7,28.7,16.0,16.0,cm,1.0,1.0,,,,,,25.0,25.0,,
manuscript_15596,,Eton Pote 437,,manuscript,,Eton_437,1742 1742,1742 1742,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,fa,1.0,"Qiṣṣat Kāmrūp; قصه كامروپ; Catalogue of the Persian manuscripts in the British Museum (3 vols.); Catalogue of Persian manuscripts in the library of the India Office (2 vols.); Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library; Mughals in India: a bibliographical survey. Vol. 1. Manuscripts",,,"(almost certainly) Muḥammad Murād محمد مراد ; (probably not) Anjab, Badīʿ al-ʿAṣr, Ḥājī Rabīʿ انجب، بديع العصر، حاجى ربيع ; (probably not) Muḥammad Kāẓim Ḥusaynī Karīm, fl. 1626. محمد كاظم حسينى كريم ; (probably not) Mīr ʿĪsā Himmat Khān ibn Islām Khān Badakhshī مير عيسى همّت خان بن اسلام خان بدخشى ; C. Rieu; H. Ethé; E. Sachau and H. Ethé; D.N. Marshall",,,codex,,chart,,,,,,,,,Partially foliated.,,unknown,unknown,,black,,,,,,,,,,,,,22.1,22.1,12.5,12.5,cm,1.0,1.0,,,,,,17.0,17.0,,
manuscript_15500,,Eton Pote 351,,manuscript,,Eton_351,,,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,fa,1.0,"Laṭāʾif al-Ṭavāʾif; لطائف الطوائف; Catalogue of the Persian manuscripts in the British Museum (3 vols.); Catalogue of Persian manuscripts in the library of the India Office (2 vols.); Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library, Part III; Mughals in India: a bibliographical survey. Vol. 1. Manuscripts",,,"Ṣafī, ʿAlī ibn Ḥusayn Kāshifī, 1463-1532 or 3 صفى، على بن حسين كاشفى‏ ; C. Rieu; H. Ethé; E. Sachau and H. Ethé; A.F.L. Beeston; D.N. Marshall",,,codex,,chart,,,,,,,,,Not foliated or paginated.,,nastaʿlīq,nastaʿlīq,,black,,,,,,,,,,,,,24.1,24.1,14.1,14.1,cm,1.0,1.0,,,,,,16.0,16.0,,
manuscript_15494,,Eton Pote 345,,manuscript,,Eton_345,1774 1774,1774 1774,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,fa,1.0,Rāg va Rāgnī hāʾī Hind; راگ وراگنى هاى هند; Persian Literature: a bio-bibliographical survey,,,Anonymous ; C. A. Storey,,,codex,,chart,,,,,,,,,Not foliated or paginated.,,unknown,unknown,,black,,,,,,,,,,,,,24.5,24.5,15.0,15.0,cm,1.0,1.0,,,,,,11.0,11.0,,
manuscript_15582,,Eton Pote 423,,manuscript,,Eton_423,1695 1695,1695 1695,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,fa,1.0,Dustūr Jahāngushāy; دستور جهانگشاى,,,Anonymous,,,codex,,chart,,,,,,,,,Foliated.,,unknown,unknown,,black,,,,,,,,,,,,,22.5,22.5,13.0,13.0,cm,1.0,1.0,,,,,,15.0,15.0,,
manuscript_15417,,Eton Pote 278(2),,manuscript,,Eton_278_2,1700 1700,1700 1700,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,fa,1.0,Taʾrīkh ʿĀlam-ārā; Afz̤al al-Tavārīkh; تاريخ عالم آرای ; افضل التواريخ; Afz̤al al-Tavārīkh; Taʾrīkh ʿĀlam-ārā-yi 'Abbasi; Persian Literature: a bio-bibliographical survey; Mughals in India: a bibliographical survey. Vol. 1. Manuscripts,,,"Khūzānī Iṣfahānī, Faz̤lī Bayg خوزانى اصفهانى، فضلى بيگ ; C. A. Storey; D.N. Marshall",,,codex,,chart,,,,,,,,,Foliated.,,unknown,unknown,,black,,,,,,,,,,,,,30.5,30.5,16.0,16.0,cm,1.0,1.0,,,,,,21.0,21.0,,
manuscript_15493,,Eton Pote 344,,manuscript,,Eton_344,,,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,ar,1.0,Part of Kitāb al-Shifāʾ; الشفاء; Geschichte der arabischen Literatur; Supplement to the catalogue of the Arabic manuscripts in the British Museum,,,"Ibn Sīnā, 980-1037 ابن سينا ; C. Brockelmann; C. Rieu",,,codex,,chart,,,,,,,,,Not foliated or paginated.,,unknown,unknown,,black,,,,,,,,,,,,,25.3,25.3,15.7,15.7,cm,1.0,1.0,,,,,,21.0,21.0,,
manuscript_15581,,Eton Pote 422,,manuscript,,Eton_422,1782 1782,1782 1782,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,fa,1.0,"Nafāʾis al-Akhbār; نفائس الاخبار; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library",,,Anonymous ; E. Sachau and H. Ethé,,,codex,,chart,,,,,,,,,Not foliated or paginated.,,nastaʿlīq,nastaʿlīq,,black,,,,,,,,,,,,,22.5,22.5,14.0,14.0,cm,1.0,1.0,,,,,,15.0,15.0,,
