metadata: record UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,metadata: crArk,metadata: ieArk,metadata: SCN,metadata: TM,metadata: PR,metadata: diktyon,record: history,record: source,record: most recent change,availability: availability statement,surrogates: full digital facsimile(s),surrogates: full digital facsimile URI(s),surrogates: full iiif manifest,surrogates: partial digital facsimile(s),surrogates: partial digital facsimile URI(s),surrogates: partial iiif manifest,printed resources: bibliography,printed resources: URI(s),printed resources: ID(s),online resources: JONAS URI,online resources: bibliography,online resources: URI(s)
A_1_record_1,manuscript_1,,A_1,,manuscript,,A_1,,,,,,,"""Manuscript description based on. R. A. Nicholson: A descriptive catalogue of the Oriental MSS belonging to the late E.G. Browne. Cambridge, 1932. "", abbreviated by the OCIMCO project team.",,2020-07-06,,False,,,False,,,,,,,,
A_2_record_1,manuscript_2,,A_2,,manuscript,,A_2,,,,,,,"""Manuscript description based on. R. A. Nicholson: A descriptive catalogue of the Oriental MSS belonging to the late E.G. Browne. Cambridge, 1932. "", abbreviated by the OCIMCO project team.",,2020-07-06,,False,,,False,,,,,,,,
A_3_record_1,manuscript_3,,A_3,,manuscript,,A_3,,,,,,,"""Manuscript description based on. R. A. Nicholson: A descriptive catalogue of the Oriental MSS belonging to the late E.G. Browne. Cambridge, 1932. "", abbreviated by the OCIMCO project team.",,2020-07-06,,False,,,False,,,,,,,,
Uk_Add_7316_record_1,manuscript_4,,Uk_Add_7316,,manuscript,,Uk_Add_7316,,,,,,,,,2022-04-21,"Entry to read in the Library is permitted only on presentation of a valid reader's card for admissions procedures contact British Library, Registering for a Reader Pass. Contact apac-enquiries@bl.uk for further information on the availability of this manuscript. For information on catalogues and ordering manuscripts see Finding and ordering Persian manuscripts in the British Library.",False,,,False,,,,,,,,
Add_1043_record_1,manuscript_5,,Add_1043,,manuscript,,Add_1043,,,,,,,"Manuscript description based on abbreviated by the OCIMCO project team. E. G. Browne: A hand-list of the Muhammadan manuscripts, including all those written in the Arabic character, preserved in the Library of the University of Cambridge. Cambridge, 1900 E. G. Browne: A catalogue of the Persian manuscripts in the Library of the University of Cambridge. Cambridge, 1896",,2020-07-06,,False,,,False,,,,,,,,
Add_1044_record_1,manuscript_6,,Add_1044,,manuscript,,Add_1044,,,,,,,"Manuscript description based on abbreviated by the OCIMCO project team. E. G. Browne: A hand-list of the Muhammadan manuscripts, including all those written in the Arabic character, preserved in the Library of the University of Cambridge. Cambridge, 1900 E. G. Browne: A catalogue of the Persian manuscripts in the Library of the University of Cambridge. Cambridge, 1896",,2020-07-06,,False,,,False,,,,,,,,
Add_1055_record_1,manuscript_7,,Add_1055,,manuscript,,Add_1055,,,,,,,"Manuscript description based on abbreviated by the OCIMCO project team. E. G. Browne: A hand-list of the Muhammadan manuscripts, including all those written in the Arabic character, preserved in the Library of the University of Cambridge. Cambridge, 1900 E. G. Browne: A catalogue of the Persian manuscripts in the Library of the University of Cambridge. Cambridge, 1896",,2020-07-06,,False,,,False,,,,,,,,
Add_1079_record_1,manuscript_8,,Add_1079,,manuscript,,Add_1079,,,,,,,"Manuscript description based on abbreviated by the OCIMCO project team. E. G. Browne: A hand-list of the Muhammadan manuscripts, including all those written in the Arabic character, preserved in the Library of the University of Cambridge. Cambridge, 1900 E. G. Browne: A catalogue of the Persian manuscripts in the Library of the University of Cambridge. Cambridge, 1896",,2020-07-06,,False,,,False,,,,,,,,
Add_1080_record_1,manuscript_9,,Add_1080,,manuscript,,Add_1080,,,,,,,"Manuscript description based on abbreviated by the OCIMCO project team. E. G. Browne: A hand-list of the Muhammadan manuscripts, including all those written in the Arabic character, preserved in the Library of the University of Cambridge. Cambridge, 1900 E. G. Browne: A catalogue of the Persian manuscripts in the Library of the University of Cambridge. Cambridge, 1896",,2020-07-06,,False,,,False,,,,,,,,
Add_1081_record_1,manuscript_10,,Add_1081,,manuscript,,Add_1081,,,,,,,"Manuscript description based on abbreviated by the OCIMCO project team. E. G. Browne: A hand-list of the Muhammadan manuscripts, including all those written in the Arabic character, preserved in the Library of the University of Cambridge. Cambridge, 1900 E. G. Browne: A catalogue of the Persian manuscripts in the Library of the University of Cambridge. Cambridge, 1896",,2020-07-06,,False,,,False,,,,,,,,
