metadata: item UID,metadata: item ID,metadata: item n,metadata: file URL,metadata: ms ID,metadata: shelfmark,metadata: collection,metadata: ms type,metadata: part name,metadata: part ID,metadata: nest level,locus: locus,locus: from,locus: to,locus: inferred end,length: est fols,length: est cols,length: est lines,length: est % of ms,length: est % of part,work: title,work: title type,work: work ID,work: standard title(s),work: class(es),work: associated subject(s),work: subject URI(s),work: theology,work: documents,work: bible,work: literature,work: science,work: liturgy,work: history,work: law,work: philosophy,work: hagiography,work: medicine,work: christian literature,work: sermons,work: classical literature,work: monasticism and religious orders,work: grammar,work: clergy,work: rhetoric,work: geography,work: natural history,work: politics and government,work: music,work: indexes,work: conduct,work: heraldry,work: magic,work: bibliography,work: recreation,author: name(s),author: standard name(s),author: ID(s),language: text lang(s),language: main,language: other,paratext: incipit,paratext: explicit,paratext: rubric(s),paratext: rubric note(s),paratext: final rubric(s),paratext: final rubric note(s),bibliography: note(s),bibliography: bibl,bibliography: repertory/ies,bibliography: edition(s),bibliography: commented on,bibliography: related,bibliography: commentary/ies,bibliography: bible,bibliography: ms(s),bibliography: IMEV,bibliography: IMEV URI(s),bibliography: WIC,bibliography: WIC URI(s)
Eton Pote 392_item_1,Eton_392-item1,1.0,manuscript_15546,Eton Pote 392,,,manuscript,,Eton_392,1,,,,,,,,,,Mukhtaṣar al-Waqāyiʿ; مختصر الوقايع,,work_11342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maḥbūbī, ʿUbayd Allāh ibn Masʿūd, d. 1346 or 7 محبوبي، عبيد الله بن مسعود",,person_106984322,Arabic,ar,,,,,,,,Note concerning author: The anonymous compiler is the grandson of the author. ; Colophon details: Date: 968 / 1560-1 Scribe: Khwājah Muḥammad ibn Malik Muḥammad al-Andakānī خواجه محمد بن ملك محمد الاندكانى . ; Colophon further notes: F.72v.; Note concerning manuscript: 3 folios of notes at the end.,Margoliouth no. 21 (shelf/item: 5/4),,,,,,,,,,,
Eton Pote 386_item_1,Eton_386-item1,1.0,manuscript_15540,Eton Pote 386,,,manuscript,,Eton_386,1,,,,,,,,,,Maʾāthir-i ʿĀlamgīrī; مآثر عالمگیری,,work_5121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mustaʿidd Khān, Muḥammad Sāqī, d. 1724 محمد ساقي مستعدّ خان",,person_8333303,Persian,fa,,,,,,,,"Colophon details: Date: Undated Scribe: Mustaʿidd Khān, Muḥammad Sāqī, d. 1724 محمد ساقي مستعدّ خان . ; Colophon further notes: The colophon speaks as if the scribe is the author - in which case this would be a holograph; the author died c. 1137.","Margoliouth no. 189 (shelf/item: 5/19) ; Catalogue of the Persian manuscripts in the British Museum (3 vols.) C. Rieu 1879-1883 p.270 [BL Add. 19495]; Catalogue of Persian manuscripts in the library of the India Office (2 vols.) H. Ethé 1903-37 col.138, no. 365 [BL IO Islamic 3152]; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library E. Sachau and H. Ethé 1889 col.129, no. 247 [Bodl. Elliot 236]; Persian Literature: a bio-bibliographical survey C. A. Storey 1927–39 I.1 p.593 (1180H); Mughals in India: a bibliographical survey. Vol. 1. Manuscripts D.N. Marshall 1962 p.361",,,,,,,,,,,
Eton Pote 379_item_1,Eton_379-item1,1.0,manuscript_15531,Eton Pote 379,,,manuscript,,Eton_379,1,,,,,,,,,,Tarjumān Nuṣūṣ al-Kilam (a commentary upon Ibn ʿArabī's Fuṣūṣ al-Ḥikam); ترجمان نصوص الكلم,,work_11276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʿImād al-dīn Muḥammad عماد الدين محمد,,person_f6027,Persian,fa,,,,,,,,Colophon details: Date: Undated Scribe: Anonymous. ; Note concerning work: A Persian commentary upon Ibn 'Arabi's Fusus al-Hikam.,Margoliouth no. 34 (shelf/item: 16/10),,,,,,,,,,,
Eton Pote 437_item_1,Eton_437-item1,1.0,manuscript_15596,Eton Pote 437,,,manuscript,,Eton_437,1,,,,,,,,,,Qiṣṣat Kāmrūp; قصه كامروپ,,work_21185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(almost certainly) Muḥammad Murād محمد مراد ; (probably not) Anjab, Badīʿ al-ʿAṣr, Ḥājī Rabīʿ انجب، بديع العصر، حاجى ربيع ; (probably not) Muḥammad Kāẓim Ḥusaynī Karīm, fl. 1626. محمد كاظم حسينى كريم ; (probably not) Mīr ʿĪsā Himmat Khān ibn Islām Khān Badakhshī مير عيسى همّت خان بن اسلام خان بدخشى",,person_f6067 person_f6068 person_f2567 person_f3018,Persian,fa,,,,,,,,Colophon details: Date: Thursday 22 Jumādā I 1155 / 25 Jul 1742 Scribe: Ghulām Ashraf ibn Sayyid Maḥmūd [Manṣudār?] غلام اشرف بن سيد محمود . ; Colophon further notes: F.135v: the colophon.; Note concerning work: A digitized version of a copy of Dastūr-i Himmat by Muḥammad Murād is available from University of Melbourne at https://digitised-collections.unimelb.edu.au/handle/11343/23319?show=full - the text is very similar to that in Eton Pote 319 and Eton Pote 437.,"Margoliouth no. 155 (shelf/item: 6/1) ; Catalogue of the Persian manuscripts in the British Museum (3 vols.) C. Rieu 1879-1883 p.697 [BL Add. 19624 - entitled Dastūr-i Himmat - Muḥammad Murād's versified version of the Himmat Khān prose version - the first verse is the same in Eton Pote 319 and Eton Pote 437]; p.711 [BL Egerton 1036 - verse version by Anjab]; p.763 [BL Add. 5623 (by Muḥammad Kāẓim)]; p.803 [BL Add. 6632 (autograph version by Munshī ʿAlī Riẓā)]; Catalogue of Persian manuscripts in the library of the India Office (2 vols.) H. Ethé 1903-37 col.533, no. 821 [BL IO Islamic 2774 (by Himmat Khān - the same version as that ascribed elsewhere to Muḥammad Kāẓim)]; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library E. Sachau and H. Ethé 1889 col.816, no. 1326 [Bodl. Fraser 106 (translation ascribed to Mīr ʿĪsā Himmat Khān ibn Islām Khān Badakhshī)]; Mughals in India: a bibliographical survey. Vol. 1. Manuscripts D.N. Marshall 1962 p.187",,,,,,,,,,,
Eton Pote 351_item_1,Eton_351-item1,1.0,manuscript_15500,Eton Pote 351,,,manuscript,,Eton_351,1,,,,,,,,,,Laṭāʾif al-Ṭavāʾif; لطائف الطوائف,,work_5080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ṣafī, ʿAlī ibn Ḥusayn Kāshifī, 1463-1532 or 3 صفى، على بن حسين كاشفى‏",,person_90077852,Persian,fa,,,,,,,,Colophon details: Date: Undated Scribe: Anonymous. ; Note concerning work: Composed in 939.,"Margoliouth no. 86 (shelf/item: 18/11) ; Catalogue of the Persian manuscripts in the British Museum (3 vols.) C. Rieu 1879-1883 p.757 [BL Add. 18408]; Catalogue of Persian manuscripts in the library of the India Office (2 vols.) H. Ethé 1903-37 col.516, no. 778 [BL IO Islamic 1359]; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library E. Sachau and H. Ethé 1889 col.428, no. 454 [Bodl. Elliot 234]; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library, Part III A.F.L. Beeston 1954 p.17 no. 2518 [Bodl. Ms. Ind. Inst. Pers. 91]; Mughals in India: a bibliographical survey. Vol. 1. Manuscripts D.N. Marshall 1962 p.426",,,,,,,,,,,
Eton Pote 345_item_1,Eton_345-item1,1.0,manuscript_15494,Eton Pote 345,,,manuscript,,Eton_345,1,,,,,,,,,,Rāg va Rāgnī hāʾī Hind; راگ وراگنى هاى هند,,work_11275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anonymous,,person_f407,Persian,fa,,,,,,,,Colophon details: Date: Muḥarram 1188 / Mar-Jun 1774 Scribe: Thakir Dās ثكر داس .,Margoliouth no. 211 (shelf/item: 5/16) ; Persian Literature: a bio-bibliographical survey C. A. Storey 1927–39 II.3 p.422 (1181H - sole copy?),,,,,,,,,,,
Eton Pote 423_item_1,Eton_423-item1,1.0,manuscript_15582,Eton Pote 423,,,manuscript,,Eton_423,1,,,,,,,,,,Dustūr Jahāngushāy; دستور جهانگشاى,,work_11264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anonymous,,person_f407,Persian,fa,,,,,,,,"Colophon details: Place: Paraknah (?) Date: Wednesday 4 Rajab, year 39 of ʿĀlamgīr (1106) / 18 Feb 1695 Scribe: Gūjar Khān ibn Bahādur Khān Afghān گجر خان بن بهادر خان افغان . ; Colophon further notes: F.77v (final colophon).",Margoliouth no. 52 (shelf/item: 13/15),,,,,,,,,,,
Eton Pote 278(2)_item_1,Eton_278_2-item1,1.0,manuscript_15417,Eton Pote 278(2),,,manuscript,,Eton_278_2,1,,,,,,,,,,Taʾrīkh ʿĀlam-ārā; Afz̤al al-Tavārīkh; تاريخ عالم آرای ; افضل التواريخ,,work_20883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Khūzānī Iṣfahānī, Faz̤lī Bayg خوزانى اصفهانى، فضلى بيگ",,person_316003841,Persian,fa,,,,,,,,"Note concerning author: Faz̤lī is the author of Afz̤al al-Tavārīkh. Charles Melville found that work was related to Iskandar Beg Munshi's work of this title: Taʾrīkh ʿĀlam-ārā-yi 'Abbasi. See his discovery in Christ's College library Dd.5.6: http://www.ifao.egnet.net/bcai/31/30/. See also Melville's ""A lost source for the reign of Shah 'Abbas: The Afzal al-tawarikh of Fazli Khuzani Isfahani"" on JSTOR: https://www.jstor.org/stable/4311148. Could this be yet another manuscript mixing the two works?! ; Colophon details: Date: Rabīʿ II 1112 / Sep-Oct 1700 Scribe: Anonymous. ; Note concerning work: This is probably not the work Afz̤al al-Tavārīkh - see note against Eton Pote 278_1.",Margoliouth no. 173 (shelf/item: 17/1) ; Persian Literature: a bio-bibliographical survey C. A. Storey 1927–39 I.1 p.301 (ta'rikh i alam-ara by Fadli Ispahani vol I: also I.2 p.1280: Rieu Supp 56 is immediate continuation); Mughals in India: a bibliographical survey. Vol. 1. Manuscripts D.N. Marshall 1962 p.545; p.145,,,,,,,,,,,
Eton Pote 344_item_1,Eton_344-item1,1.0,manuscript_15493,Eton Pote 344,,,manuscript,,Eton_344,1,,,,,,,,,,Part of Kitāb al-Shifāʾ; الشفاء,,work_1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ibn Sīnā, 980-1037 ابن سينا",,person_89770781,Arabic,ar,,,,,,,,Colophon details: Date: Undated Scribe: Anonymous. ; Note concerning work: Volume 2.,"Margoliouth no. 76 (shelf/item: 14/22) ; Geschichte der arabischen Literatur C. Brockelmann 1892-1902 (2 vols. plus supplements) GAL I.454; GAL Supp. I.815; Supplement to the catalogue of the Arabic manuscripts in the British Museum, C. Rieu (1894) p.484, no.711 [BL Or. 2873]",,,,,,,,,,,
Eton Pote 422_item_1,Eton_422-item1,1.0,manuscript_15581,Eton Pote 422,,,manuscript,,Eton_422,1,,,,,,,,,,Nafāʾis al-Akhbār; نفائس الاخبار,,work_5016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anonymous,,person_f407,Persian,fa,,,,,,,,Colophon details: Date: 27 Muḥarram 1196 / 12 Jan 1782 Scribe: Anonymous.,"Margoliouth no. 88 (shelf/item: 14/7) ; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library E. Sachau and H. Ethé 1889 col.444, no. 481 [Bodl. Ouseley 215 (same incipit; dated 1 year later)]",,,,,,,,,,,
