metadata: deco UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: decoration,overview: description,overview: type,locus: locus,locus: from,locus: to,date: date,date: when,date: not before,date: not after,date: certainty,date: calendar,people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: artist name(s),people: artist ID(s),people: patron name(s),people: patron ID(s),people: dedicatee name(s),people: dedicatee ID(s),people: former owner name(s),people: former owner ID(s),people: donor name(s),people: donor ID(s),people: other name(s),people: other ID(s),orgs: name(s),orgs: ID(s),places: name(s),places: ID(s),bibliography: bibl(s),bibliography: ref(s),bibliography: ref URI(s)
ECOM 8_deco_1,manuscript_16688,,ECOM 8,,manuscript,,ECOM_8,,"surah headings in gold, opening double page of illumination in colours and gold.",heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 15_deco_1,manuscript_16695,,ECOM 15,,manuscript,,ECOM_15,,Headings written in blue.,heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 10_deco_1,manuscript_16690,,ECOM 10,,manuscript,,ECOM_10,,Illuminated opening.,headpiece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 20_deco_1,manuscript_16700,,ECOM 20,,manuscript,,ECOM_20,A fine example of a Safavid manuscript,", with illuminations.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 21_deco_1,manuscript_16701,,ECOM 21,,manuscript,,ECOM_21,Opening double page of illuminations replaced in 19th century.,Contains 48 miniatures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 26_deco_1,manuscript_16706,,ECOM 26,,manuscript,,ECOM_26,,Illuminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 26_deco_2,manuscript_16706,,ECOM 26,,manuscript,,ECOM_26,,with numerous miniatures,miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 19_deco_1,manuscript_16699,,ECOM 19,,manuscript,,ECOM_19,A fine example of an early Safavid manuscript with illuminations.,"Illustrations on ff. , , , , , .",,1b; 2a; 143b; 185a; 239a; 421a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 25_deco_1,manuscript_16705,,ECOM 25,,manuscript,,ECOM_25,,Illuminated unwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 25_deco_2,manuscript_16705,,ECOM 25,,manuscript,,ECOM_25,,miniature on f.,,15b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 4_deco_1,manuscript_16684,,ECOM 4,,manuscript,,ECOM_4,,Illuminated devices in margins.,marginal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 5_deco_1,manuscript_16685,,ECOM 5,,manuscript,,ECOM_5,,Spanish illuminated manuscript; illuminated devices in margins.,marginal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 7_deco_1,manuscript_16687,,ECOM 7,,manuscript,,ECOM_7,,"surah headings in gold, opening double page of illumination in colours and gold.",heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 2_deco_1,manuscript_16682,,ECOM 2,,manuscript,,ECOM_2,,Part of an Illuminated copy in Mamluk style; Surah headings in gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 3_deco_1,manuscript_16683,,ECOM 3,,manuscript,,ECOM_3,,Part of an Illuminated copy in Mamluk style; Surah headings in gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms_88_deco_1,manuscript_5110,,Ms_88,,manuscript,,Ms_88,,"Decorated headpiece in with a rectangular panel surmounted by spade-shaped ornamentation; the inner ornamentation contains yellow and pink flowers with white stems on gold ground, the outer ornamentation red flowers with white stems in blue ground",unwan,f. 1b,1b,1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms_88_deco_2,manuscript_5110,,Ms_88,,manuscript,,Ms_88,,Section headings written in white ink within a small rectangular gilded panel,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms_88_deco_3,manuscript_5110,,Ms_88,,manuscript,,Ms_88,,Rubrications in red ink,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms_88_deco_4,manuscript_5110,,Ms_88,,manuscript,,Ms_88,,"Page borders ruled in red and gold; frame decorated with white, red and gold flowers",border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms_88_deco_5,manuscript_5110,,Ms_88,,manuscript,,Ms_88,,Illustrations in,illustration,f.,a,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms_88_deco_6,manuscript_5110,,Ms_88,,manuscript,,Ms_88,,Seal with the legend: از تقاضای حکمت ازلی میر جهان مراد علی بسنت ۱۲۳۰; dated in 1230 / 1814.,other,,,,1230; 1814,1230 1814,1230 1814,1230 1814,,#Hijri-qamari #Gregorian,,,,,,,,,,,,,,,,,,,,,,,
Ms_33_deco_1,manuscript_5109,,Ms_33,,manuscript,,Ms_33,,Rubrications in red ink,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms_33_deco_2,manuscript_5109,,Ms_33,,manuscript,,Ms_33,,,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms_33_deco_3,manuscript_5109,,Ms_33,,manuscript,,Ms_33,,"Title page (f. 9v) carpet page illumination. Border of silver flowers with black penwork on a pink ground. Central panel on a light blue ground, divided into three decorative panels, above a panel with text in clouds on a gold ground. 1. Flower design in blue, with ochre stems and leaves against a pink ground, and a blue half lozenge decorated with ochre, red, white and gold flowers; 2. Green leaves against a gold ground, with red and blue flowers, red corner decorations; 3. Gold lozenge outlined in red, on a blue ground with gold flowers, containing the initial word in a cloud.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms_33_deco_4,manuscript_5109,,Ms_33,,manuscript,,Ms_33,,"central panels on front, back and envelope flap, decorated with multicoloured flowers and birds outlined in gold, border of stylised multicoloured flowers outlined in gold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 374**_deco_1,manuscript_34171,,MS 374**,,manuscript,,MS_374-AST-AST,,Every page of text is framed in fillets of gold. The double-page opening is highly gilded and has polychrome floral scrolls on gilded frames. It also presents decorative headings and marginal rosettes.,illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 373_deco_1,manuscript_34169,,MS 373,,manuscript,,MS_373,,"Every page is set in a broad paper margin tinted with safflower. The text is framed by narrow fillets of gold, with a broader band of blue, and rules of red, white and blue. The manuscript opens with a fully-illuminated double-page in gold, blue and polychrome floral scrolls, with decorated title-pages for every book of the Quintet, and two separate ones for the Sharafnameh and the Iqbalnameh.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 373_deco_2,manuscript_34169,,MS 373,,manuscript,,MS_373,,It contains 17 paintings.,illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
