metadata: origin UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: origin,overview: additions,locus: locus,locus: from,locus: to,orig date: date,orig date: when,orig date: not before,orig date: not after,orig date: certainty,orig date: calendar,orig place: place,orig place: country,orig place: country ID,orig place: country lat,orig place: country long,orig place: region,orig place: region ID,orig place: region lat,orig place: region long,orig place: settlement,orig place: settlement ID,orig place: settlement lat,orig place: settlement long,orig org: org,orig org: org ID,orig org: org lat,orig org: org long,add date: date,add date: when,add date: not before,add date: not after,add date: certainty,add date: calendar,add place: place,add place: country,add place: country ID,add place: country lat,add place: country long,add place: region,add place: region ID,add place: region lat,add place: region long,add place: settlement,add place: settlement ID,add place: settlement lat,add place: settlement long,add org: org,add org: org ID,add org: org lat,add org: org long,bibliography: bibl(s),bibliography: ref(s),bibliography: ref ID(s),bibliography: note(s)
Eton Pote 392_origin_1,manuscript_15546,,Eton Pote 392,,manuscript,,Eton_392,968 1560-1,,,,,968 1560-1,,1560 1560,1561 1561,,#Hijri-qamari #Gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 386_origin_1,manuscript_15540,,Eton Pote 386,,manuscript,,Eton_386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 379_origin_1,manuscript_15531,,Eton Pote 379,,manuscript,,Eton_379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 437_origin_1,manuscript_15596,,Eton Pote 437,,manuscript,,Eton_437,Thursday 22 Jumādā I 1155 25 Jul 1742,,,,,Thursday 22 Jumādā I 1155 25 Jul 1742,1742 1742,1742 1742,1742 1742,,#Hijri-qamari #Gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 351_origin_1,manuscript_15500,,Eton Pote 351,,manuscript,,Eton_351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 345_origin_1,manuscript_15494,,Eton Pote 345,,manuscript,,Eton_345,Muḥarram 1188 Mar-Jun 1774,,,,,Muḥarram 1188 Mar-Jun 1774,1774 1774,1774 1774,1774 1774,,#Hijri-qamari #Gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 423_origin_1,manuscript_15582,,Eton Pote 423,,manuscript,,Eton_423,"Paraknah (?) Wednesday 4 Rajab, year 39 of ʿĀlamgīr (1106) 18 Feb 1695",,,,,"Wednesday 4 Rajab, year 39 of ʿĀlamgīr (1106) 18 Feb 1695",1695 1695,1695 1695,1695 1695,,#Hijri-qamari #Gregorian,Paraknah (?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 278(2)_origin_1,manuscript_15417,,Eton Pote 278(2),,manuscript,,Eton_278_2,Rabīʿ II 1112 Sep-Oct 1700,,,,,Rabīʿ II 1112 Sep-Oct 1700,1700 1700,1700 1700,1700 1700,,#Hijri-qamari #Gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 344_origin_1,manuscript_15493,,Eton Pote 344,,manuscript,,Eton_344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 422_origin_1,manuscript_15581,,Eton Pote 422,,manuscript,,Eton_422,27 Muḥarram 1196 12 Jan 1782,,,,,27 Muḥarram 1196 12 Jan 1782,1782 1782,1782 1782,1782 1782,,#Hijri-qamari #Gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 436_origin_1,manuscript_15595,,Eton Pote 436,,manuscript,,Eton_436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 350_origin_1,manuscript_15499,,Eton Pote 350,,manuscript,,Eton_350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 378_origin_1,manuscript_15530,,Eton Pote 378,,manuscript,,Eton_378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 387_origin_1,manuscript_15541,,Eton Pote 387,,manuscript,,Eton_387,"Thursday 9 Jumādā II year 48 (probably Aurangzeb, i.e. 1116) 9 Oct 1704 (?) {alternatively Akbar, a century earlier}",,,,,"Thursday 9 Jumādā II year 48 (probably Aurangzeb, i.e. 1116) 9 Oct 1704 (?) {alternatively Akbar, a century earlier}",1704 1704,1704 1704,1704 1704,,#Hijri-qamari #Gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 393_origin_1,manuscript_15547,,Eton Pote 393,,manuscript,,Eton_393,3 Jumādā II 1190 20 Jul 1776,,,,,3 Jumādā II 1190 20 Jul 1776,1776 1776,1776 1776,1776 1776,,#Hijri-qamari #Gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 385_origin_1,manuscript_15539,,Eton Pote 385,,manuscript,,Eton_385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 391_origin_1,manuscript_15545,,Eton Pote 391,,manuscript,,Eton_391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 408_origin_1,manuscript_15565,,Eton Pote 408,,manuscript,,Eton_408,25 Shaʿbān year 1106 (?) 10 Apr 1695 (?),,,,,25 Shaʿbān year 1106 (?) 10 Apr 1695 (?),1695 1695,1695 1695,1695 1695,,#Hijri-qamari #Gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
