metadata: history UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: history,overview: type,dates: when,dates: not before,dates: not after,dates: from,dates: to,dates: certainty,dates: calendar,people: author name(s),people: author ID(s),people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: annotator name(s),people: annotator ID(s),people: artist name(s),people: artist ID(s),people: patron name(s),people: patron ID(s),people: binder name(s),people: binder ID(s),people: former owner name(s),people: former owner ID(s),people: donor name(s),people: donor ID(s),people: bookseller name(s),people: bookseller ID(s),people: other name(s),people: other ID(s),former owners (person): standard name(s),former owners (person): birth,former owners (person): death,former owners (person): floruit not before,former owners (person): floruit not after,former owners (person): occupation,former owners (person): sex,former owners (person): nationality,former owners (person): lang knowledge,former owners (person): residence,former owners (person): affiliation,orgs: former owner name(s),orgs: former owner ID(s),orgs: patron name(s),orgs: patron ID(s),orgs: donor name(s),orgs: donor ID(s),orgs: other name(s),orgs: other ID(s),former owners (org): standard name(s),former owners (org): affiliation,former owners (org): latitude,former owners (org): longitude,former owners (org): settlement,former owners (org): country,places: name(s),places: ID(s),places: standard name(s),places: longitude,places: latitude,places: region,places: country
Eton Pote 392_hist_1,manuscript_15546,,Eton Pote 392,,manuscript,,Eton_392,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 392_hist_2,manuscript_15546,,Eton Pote 392,,manuscript,,Eton_392,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 386_hist_1,manuscript_15540,,Eton Pote 386,,manuscript,,Eton_386,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 386_hist_2,manuscript_15540,,Eton Pote 386,,manuscript,,Eton_386,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 379_hist_1,manuscript_15531,,Eton Pote 379,,manuscript,,Eton_379,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 379_hist_2,manuscript_15531,,Eton Pote 379,,manuscript,,Eton_379,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 437_hist_1,manuscript_15596,,Eton Pote 437,,manuscript,,Eton_437,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 437_hist_2,manuscript_15596,,Eton Pote 437,,manuscript,,Eton_437,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 351_hist_1,manuscript_15500,,Eton Pote 351,,manuscript,,Eton_351,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 351_hist_2,manuscript_15500,,Eton Pote 351,,manuscript,,Eton_351,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
